id_marca,marca_canonica,alias,instagram,sitio_web,estado
221,Neto Pilates,NETO PILATES,,,activa
222,Nuevo Pilates,NUEVO PILATES,,,activa
223,Nanai Pilates,Nanai Pilates,,,activa
224,Naos Pilates Studio,Naos Pilates Studio,,,activa
225,Naroa Pilates,Naroa Pilates,,,activa
226,Nexo Pilates & Therapy Recoleta,Nexo Pilates & Therapy Recoleta,,,activa
227,Non Solo Pilates,Non solo Pilates,,,activa
228,Nuevo Pilates Urquiza,Nuevo Pilates Urquiza,,,activa
229,Onira Pilates,ONIRA PILATES,,,activa
230,Ostudio Pilates Y Más,OStudio pilates y más,,,activa
231,Oasis Pilates,Oasis Pilates,,,activa
232,Oma Ba - Pilates & Yoga,Oma BA - Pilates & Yoga,,,activa
233,Ossom Pilates,Ossom Pilates,,,activa
234,Otis Pilates,Otis Pilates,,,activa
235,Oxzen Pilates,Oxzen Pilates,,,activa
236,Pilates 2X4,PILATES 2x4,,,activa
237,Pilates Aroha Villa Del Parque,PILATES AROHA VILLA DEL PARQUE,,,activa
238,Pilates Bajo Impacto,PILATES Bajo Impacto,,,activa
239,Pilates Fit,PILATES FIT,,,activa
240,Pilates Valma,PILATES VALMA,,,activa
241,Palace Pilates,Palace Pilates,,,activa
242,Palacio Fit,Palacio Fit,,,activa
243,Palermo Pilates,Palermo Pilates,,,activa
244,Paloma Pilates,Paloma Pilates,,,activa
245,Patricia Pilates Castillo,Patricia Pilates Castillo,,,activa
246,Paulypilates,Paulypilates,,,activa
247,Philautía Pilates,Philautía Pilates,,,activa
248,Pila Pilates,Pila Pilates,,,activa
249,Pilates Aroha,Pilates Aroha,,,activa
250,Pilates Baraka,Pilates BARAKA,,,activa
251,Pilates Bren,Pilates Bren,,,activa
252,Pilates Club,Pilates Club,,,activa
253,Pilates Clásico - Raquel Sosa Estudio,Pilates Clásico - Raquel Sosa Estudio,,,activa
254,Pilates Clásico Nati Milito,Pilates Clásico Nati Milito,,,activa
255,Pilates Coy,Pilates Coy,,,activa
256,Pilates Delpino,Pilates Delpino,,,activa
257,Pilates Dynamov,Pilates DynaMov,,,activa
258,Pilates Estudio & Entrenamiento,Pilates Estudio & Entrenamiento,,,activa
259,Pilates Estudio Mcm,Pilates Estudio MCM,,,activa
260,Pilates Flow,Pilates Flow,,,activa
261,Pilates Flow Chacabuco,Pilates Flow Chacabuco,,,activa
262,Pilates Flow Hidalgo,Pilates Flow Hidalgo,,,activa
263,Pilates Grow @Pilatesgrowar,Pilates Grow @pilatesgrowar,,,activa
264,Pilates Hiit,Pilates HIIT,,,activa
265,Pilates Home,Pilates Home,,,activa
